Suburb,Postcode,Depo,Distance
Baldivis,6210,Pinjarra,12.2
Barragup,6214,Pinjarra,20.6
Birchmont,6208,Pinjarra,8.2
Blythewood,6210,Pinjarra,17.1
Coodanup,6214,Pinjarra,16.3
Coolup,6210,Pinjarra,18.1
Dudley Park,6210,Pinjarra,22.1
Erskine,6208,Pinjarra,10.9
Fairbridge,6210,Pinjarra,13.3
Furnissdale,6210,Pinjarra,16.2
Greenfields,6210,Pinjarra,18.8
Halls Head,6210,Pinjarra,22.3
Lakelands,6210,Pinjarra,24.9
Madora Bay,6210,Pinjarra,16.4
Mandurah,6213,Pinjarra,21.3
Marrinup,6210,Pinjarra,22.7
Meadow Springs,6208,Pinjarra,14
Meelon,6207,Pinjarra,20.1
Nambeelup,6208,Pinjarra,13.8
Nirimba,6207,Pinjarra,18.9
North Dandalup,6208,Pinjarra,11.3
North Yunderlup,6208,Pinjarra,13.2
Oakley,6210,Pinjarra,19.8
Parklands,6208,Pinjarra,3.6
Pinjarra,6208,Pinjarra,24.7
Point Grey,6208,Pinjarra,9.4
Ravenswood,6210,Pinjarra,22.1
San Remo,6210,Pinjarra,21
Silver Sands,6208,Pinjarra,9.6
South Yunderup,6210,Pinjarra,21.9
Stake Hill,6213,Pinjarra,24.6
Teesdale,6214,Pinjarra,19.6
West Coolup,6208,Pinjarra,7
West Pinjarra,6171,Pinjarra,39.5
Australind,6233,Pinjarra,6.2
Allanson,6225,Pinjarra,41.6
Argyle,6239,Pinjarra,39.8
Boyanup,6237,Pinjarra,32.3
Capel,6271,Pinjarra,43.4
Wonnerup,6280,Pinjarra,24.5
Yallingup,6282,Pinjarra,24.4
Yallingup Siding,6282,Pinjarra,16.3
Yalyalup,6280,Pinjarra,16.1
Yelverton,6280,Pinjarra,17.1
Yoongarillup,6280,Australind,21.8
Abba River,6280,Australind,31.4
Baudin,6284,Australind,42.7
Bramley,6285,Australind,33.7
Burnside,6285,Australind,36.1
Chapman Hill,6280,Australind,25.7
Cowaramup,6284,Australind,26.3
Eagle Bag,6281,Australind,25.9
Gracetown,6284,Australind,39.1
Hithergreen,6280,Australind,27.5
Jarrahwood,6275,Australind,47.5
Ludlow,6280,Australind,26.3
Margaret River,6285,Australind,41.8
Natuaraliste,6281,Australind,27.9
Osmington,6285,Australind,33
Prevelly,6285,Australind,46.9
Rosa Brook,6285,Australind,39.3
Ruabon,6280,Australind,27.5
Sabina River,6280,Australind,25.8
Treeton,6284,Australind,25.3
Tutunup,6280,Australind,32.9
Walsall,6280,Australind,39.3
Wilyabrup,6280,Australind,28.9
Witchcliffe,6286,Australind,46.8
Yoganup,6275,Australind,35.1
Alexandra Bridge,6288,Australind,73.2
Barrabup,6275,Australind,62.5
Boranup,6286,Australind,60.2
Cundinup,6275,Australind,63.7
Southampton,2460,Vasse,64
North Greenbushes,6254,Vasse,65
Catterick,6255,Vasse,66
Carlotta,6275,Vasse,67
Yanmah,6258,Vasse,68
Palgarup,6258,Vasse,69
Boyup Brook,6244,Vasse,76
Benjinup,6255,Vasse,77
Winnejup,6255,Vasse,78
Kingston,2604,Vasse,79
Chowerup,6244,Vasse,80
Scotts Brook,6244,Vasse,81
Qualeup,6394,Vasse,85
Moodiarrup,6393,Vasse,95
Muradup,6394,Vasse,101
Jingalup,6395,Vasse,102
Lumeah,2560,Vasse,103
Boscabel,6394,Vasse,104
KenMare,6316,Vasse,105
Carrolup,6317,Vasse,106
Bobalong,6320,Vasse,107
Tambellup,6320,Vasse,108
Vasse,6280,Vasse,109
Busselton,6280,Vasse,110
Dunsborough,6281,Vasse,111
